iter	RMSE
0	2133.713648
1	1695.094235
2	1436.412433
3	1270.316617
4	1177.499778
5	1126.072929
6	1102.16845
7	1087.253472
8	1079.250282
9	1074.63371
10	1071.40463
11	1069.436835
12	1069.162543
13	1067.695785
14	1067.440636
15	1066.981638
16	1064.99731
17	1063.076286
18	1063.055258
19	1063.032376
20	1063.02599
21	1061.738871
22	1061.710827
23	1061.279424
24	1060.997754
25	1060.557757
26	1060.49965
27	1060.499647
28	1060.055619
29	1059.53581
30	1059.353569
31	1059.229432
32	1057.303424
33	1056.705875
34	1056.415867
35	1055.742082
36	1055.443718
37	1053.941893
38	1053.937426
39	1053.572598
40	1052.778991
41	1052.39852
42	1051.996163
43	1051.528709
44	1049.567256
45	1049.23642
46	1049.175812
47	1048.913632
48	1048.872054
49	1048.530976
50	1048.203016
51	1045.808021
52	1045.137814
53	1044.928559
54	1044.53426
55	1044.487884
56	1044.208908
57	1043.673665
58	1043.195701
59	1043.13332
60	1043.006326
61	1042.861661
62	1041.690237
63	1041.598387
64	1040.427988
65	1040.13116
66	1039.395579
67	1039.393226
68	1038.996404
69	1038.282419
70	1037.865928
71	1037.048511
72	1036.995638
73	1036.629537
74	1035.279207
75	1034.029639
76	1033.641745
77	1033.462297
78	1032.82071
79	1032.687735
80	1031.604173
81	1031.067411
82	1031.063908
83	1030.620248
84	1030.506347
85	1030.458408
86	1030.263295
87	1028.868925
88	1027.990535
89	1027.896027
90	1026.734064
91	1025.463216
92	1025.155991
93	1025.139345
94	1024.725854
95	1024.02204
96	1023.322509
97	1023.127432
98	1022.641401
99	1022.59261
