iter	Passed	Remaining
0	153	15184
1	224	10987
2	286	9252
3	337	8110
4	395	7519
5	451	7081
6	487	6470
7	536	6167
8	581	5877
9	640	5760
10	683	5530
11	745	5463
12	784	5251
13	911	5598
14	970	5498
15	1016	5336
16	1065	5203
17	1120	5106
18	1145	4881
19	1176	4707
20	1206	4539
21	1257	4458
22	1283	4297
23	1335	4230
24	1368	4104
25	1419	4041
26	1450	3921
27	1472	3785
28	1514	3709
29	1552	3621
30	1593	3546
31	1642	3491
32	1691	3434
33	1744	3385
34	1809	3359
35	1878	3339
36	1927	3282
37	1995	3255
38	2035	3183
39	2103	3155
40	2169	3121
41	2240	3093
42	2300	3049
43	2391	3043
44	2484	3036
45	2553	2997
46	2611	2945
47	2690	2914
48	2752	2864
49	2823	2823
50	2884	2771
51	2962	2734
52	3024	2682
53	3099	2640
54	3160	2585
55	3235	2541
56	3299	2489
57	3380	2447
58	3440	2390
59	3518	2345
60	3574	2285
61	3656	2241
62	3726	2188
63	3812	2144
64	3884	2091
65	3963	2042
66	4032	1986
67	4075	1917
68	4145	1862
69	4219	1808
70	4293	1753
71	4360	1695
72	4433	1639
73	4497	1580
74	4582	1527
75	4652	1469
76	4725	1411
77	4788	1350
78	4877	1296
79	4939	1234
80	5017	1176
81	5091	1117
82	5127	1050
83	5195	989
84	5257	927
85	5325	866
86	5389	805
87	5456	744
88	5519	682
89	5590	621
90	5650	558
91	5717	497
92	5775	434
93	5809	370
94	5866	308
95	5927	246
96	6001	185
97	6058	123
98	6129	61
99	6189	0
